% Features of derived words to root letter 2
%
@RELATION rootL2

@ATTRIBUTE length	NUMERIC
@ATTRIBUTE isLetter2InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter3InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter4InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter5InCorrespondingGroup	NUMERIC
@ATTRIBUTE WhatLetter2Haraka	NUMERIC
@ATTRIBUTE WhatLetter3Haraka	NUMERIC
@ATTRIBUTE WhatLetter4Haraka	NUMERIC
@ATTRIBUTE WhatLetter5Haraka	NUMERIC
@ATTRIBUTE isLetter2Vowel	NUMERIC
@ATTRIBUTE isLetter3Vowel	NUMERIC
@ATTRIBUTE isLetter4Vowel	NUMERIC
@ATTRIBUTE isLetter5Vowel	NUMERIC
@ATTRIBUTE isLetter2Hamza	NUMERIC
@ATTRIBUTE isLetter3Hamza	NUMERIC
@ATTRIBUTE isLetter4Hamza	NUMERIC
@ATTRIBUTE isLetter5Hamza	NUMERIC
@ATTRIBUTE rootL1Position	NUMERIC
@ATTRIBUTE position	{pos0,pos2,pos3,pos4,pos5}

@DATA
2,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,1,pos2
6,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,pos4
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,1,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
7,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
4,0,1,0,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,0,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,3,pos4
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
5,0,0,1,1,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
5,0,0,1,1,4,2,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
3,0,1,-1,-1,4,0,0,0,0,1,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
4,0,0,1,-1,1,1,0,0,0,0,0,-1,0,0,0,-1,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,1,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,1,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,1,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
6,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,3,pos4
5,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,pos4
5,0,0,0,0,1,4,2,0,0,0,0,1,0,0,0,0,2,pos3
5,0,0,1,1,4,2,1,0,0,0,1,0,0,0,0,0,2,pos3
4,0,1,0,-1,0,0,0,0,0,1,0,-1,0,0,1,-1,1,pos2
3,0,0,-1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,-1,1,pos2
4,0,1,1,-1,4,1,0,0,0,1,0,-1,0,0,0,-1,1,pos2
3,0,1,-1,-1,4,0,0,0,0,1,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
6,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,3,pos4
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
4,0,0,1,-1,1,1,0,0,0,0,0,-1,0,0,0,-1,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
3,0,1,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
6,0,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
4,0,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
5,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,1,0,1,3,4,1,0,0,1,0,0,0,0,0,0,1,pos2
5,0,0,1,0,4,3,4,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
7,0,0,1,0,4,2,4,0,0,0,1,1,0,0,0,0,2,pos3
4,0,1,0,-1,2,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
4,0,1,0,-1,3,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
4,0,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
7,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
4,0,1,0,-1,3,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
6,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,3,pos4
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
7,0,0,1,0,4,0,4,0,0,0,1,1,0,0,0,0,2,pos3
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,3,pos4
5,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,0,1,0,-1,3,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
6,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,3,pos4
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
5,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,pos2
4,0,1,0,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,1,pos2
4,0,1,1,-1,0,4,0,0,0,1,1,-1,0,0,0,-1,1,pos2
4,0,1,0,-1,3,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,1,4,2,1,0,0,0,1,0,0,0,0,0,2,pos3
3,0,1,-1,-1,4,0,0,0,0,1,-1,-1,0,0,-1,-1,1,pos2
4,0,1,0,-1,0,0,0,0,0,1,0,-1,0,0,1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,1,2,pos3
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,1,2,pos3
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,1,-1,-1,1,pos2
5,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,0,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
4,0,1,0,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,1,pos2
6,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,3,pos4
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,0,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
4,0,0,0,-1,1,0,0,0,0,0,1,-1,0,0,0,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,1,0,1,0,4,1,0,0,1,0,0,0,0,0,0,1,pos2
4,0,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,0,0,1,-1,4,1,0,0,0,0,0,-1,0,0,0,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
4,0,1,0,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
7,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,0,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
5,0,0,0,0,1,4,2,0,0,0,0,1,0,0,0,0,2,pos3
3,0,1,-1,-1,4,0,0,0,0,1,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,1,2,pos3
6,0,1,1,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
5,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,1,2,pos4
3,1,0,-1,-1,1,0,0,0,0,0,-1,-1,0,1,-1,-1,1,pos2
4,1,1,0,-1,3,4,0,0,0,1,0,-1,0,0,1,-1,1,pos2
6,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,1,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,1,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
5,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,pos2
6,1,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,pos2
3,1,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,1,1,0,-1,3,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
6,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,1,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,1,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,1,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
5,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,1,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,1,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
3,1,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,1,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
5,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
3,1,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,1,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
6,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,1,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,1,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,1,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,1,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
4,1,1,1,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,1,pos2
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,1,1,1,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
4,1,1,1,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,1,pos2
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,1,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,1,2,pos3
6,0,1,1,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
5,0,0,1,0,1,4,2,0,0,0,0,1,0,0,0,0,2,pos3
3,1,0,-1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,-1,1,pos2
3,1,1,-1,-1,4,0,0,0,0,1,-1,-1,0,0,-1,-1,1,pos2
5,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,pos2
6,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,pos4
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
7,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
5,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,pos2
3,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,1,0,1,0,4,1,0,0,1,0,0,0,0,0,0,1,pos2
4,0,1,0,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
4,0,1,0,-1,0,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
4,0,1,0,-1,3,4,0,0,0,1,0,-1,0,0,0,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,1,0,1,3,4,1,0,0,1,0,0,0,0,0,0,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
7,1,1,0,0,4,2,4,0,0,0,0,0,0,0,0,0,4,pos5
5,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,pos3
5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,pos2
3,0,0,-1,-1,4,0,0,0,0,0,-1,-1,0,0,-1,-1,1,pos2
6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,pos4
5,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,pos3
6,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,2,pos4
5,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,pos3
